item_id,order_id,product_id,quantity,unit_price,discount_percent
1,893,185,2,39903,4
2,543,289,2,1986,38
3,487,230,2,17341,4
4,82,127,5,49734,17
5,657,470,4,10305,2
6,105,271,5,49752,33
7,346,462,4,15044,23
8,641,175,2,18555,44
9,507,489,4,9814,23
10,825,7,3,9959,38
11,855,106,4,17481,32
12,828,323,4,3430,49
13,989,238,3,42721,8
14,984,74,4,49490,39
15,10,144,3,25717,19
16,902,113,1,18485,36
17,546,198,3,12429,18
18,775,168,1,8060,32
19,149,262,3,21275,32
20,109,347,1,5927,24
21,603,374,1,25783,46
22,736,447,4,18985,22
23,155,318,2,29094,39
24,330,308,3,40652,21
25,809,351,2,14980,36
26,498,410,2,10413,27
27,521,151,1,5895,42
28,741,282,2,22191,8
29,30,230,4,43766,49
30,645,114,2,30911,10
31,164,459,5,22014,41
32,416,459,5,36377,24
33,612,143,1,8223,11
34,984,32,3,28245,34
35,335,172,1,1301,36
36,64,208,5,1175,42
37,717,250,3,15967,4
38,581,63,1,24367,32
39,579,249,4,20331,46
40,116,117,1,17556,50
41,429,123,1,33424,26
42,467,254,2,35040,45
43,685,145,5,35150,11
44,545,119,1,23384,8
45,49,129,2,11803,16
46,380,121,5,10489,8
47,524,312,4,15958,27
48,160,309,2,45103,13
49,185,296,5,44089,16
50,446,372,4,8326,7
51,607,175,-2,32854,15
52,810,414,2,45779,18
53,520,66,-1,13132,29
54,185,50,2,40567,3
55,794,287,3,28575,46
56,284,289,1,7876,16
57,205,53,5,47071,37
58,674,5,5,29377,10
59,549,242,2,45494,40
60,798,119,4,2868,27
61,130,114,4,5508,10
62,141,177,4,35899,12
63,290,157,4,6951,3
64,638,85,4,16049,39
65,401,311,1,1507,13
66,399,300,3,27469,28
67,92,40,1,23922,8
68,217,485,5,26819,44
69,1018,369,1,23034,19
70,346,170,2,20979,11
71,494,271,2,47275,20
72,447,374,4,22103,34
73,202,300,4,12150,27
74,593,310,2,43364,10
75,841,410,4,41222,33
76,753,446,1,2337,36
77,280,385,4,7412,41
78,651,231,2,4164,28
