product_id,product_name,category,subcategory,cost_price
1,Chair,Home,Chair,38858
2,Shirt,Clothing,Shirt,23954
3,Curtain,Home,Curtain,42739
4,Mobile,Electronics,Mobile,4582
5, Shoes ,Clothing, Shoes ,46659
6,Curtain,Home,Curtain,20181
7,Curtain,Home,Curtain,24110
8, Shoes ,Clothing, Shoes ,45592
9,Chair,Home,Chair,23416
10,Science,Books,Science,21230
11,Shoes,Clothing,Shoes,29042
12, Headphones ,Electronics, Headphones ,34045
13,Jeans,Clothing,Jeans,4855
14,Jeans,Clothing,Jeans,42643
15,Laptop,Electronics,Laptop,18367
16,Laptop,Electronics,Laptop,8075
17,Table,Home,Table,49740
18,T-Shirt,Clothing,T-Shirt,18017
19,Mouse,Electronics,Mouse,8680
20,Lamp,Home,Lamp,38287
21,Shoes,Clothing,Shoes,46199
22, Jeans ,Clothing, Jeans ,10576
23,T-Shirt,Clothing,T-Shirt,7220
24,Keyboard,Electronics,Keyboard,4204
25,T-Shirt,Clothing,T-Shirt,38276
26,Jeans,Clothing,Jeans,7466
27,Headphones,Electronics,Headphones,23089
28,Headphones,Electronics,Headphones,17250
29,Shoes,Clothing,Shoes,13218
30,Keyboard,Electronics,Keyboard,4645
31,Jacket,Clothing,Jacket,12000
32,History,Books,History,4429
33,Science,Books,Science,41550
34,Shirt,Clothing,Shirt,28708
35,Sofa,Home,Sofa,44035
36,Biography,Books,Biography,24889
37,Mobile,Electronics,Mobile,13095
38, Mobile ,Electronics, Mobile ,22339
39,Curtain,Home,Curtain,16173
40,History,Books,History,20521
41,Mobile,Electronics,Mobile,37726
42,T-Shirt,Clothing,T-Shirt,36744
43,Biography,Books,Biography,36936
44,Programming,Books,Programming,35958
45,T-Shirt,Clothing,T-Shirt,1111
46,Biography,Books,Biography,36647
47,Programming,Books,Programming,10204
48,Laptop,Electronics,Laptop,34690
49,Keyboard,Electronics,Keyboard,41831
50,Shirt,Clothing,Shirt,28234
51,Shoes,Clothing,Shoes,47405
52,T-Shirt,Clothing,T-Shirt,43743
53,Novel,Books,Novel,47457
54,Keyboard,Electronics,Keyboard,25651
55,History,Books,History,49675
56,History,Books,History,19000
57,Mobile,Electronics,Mobile,4660
58,Sofa,Home,Sofa,35500
59,Lamp,Home,Lamp,28342
60,Headphones,Electronics,Headphones,2500
61,Programming,Books,Programming,18509
62,T-Shirt,Clothing,T-Shirt,12236
63,Keyboard,Electronics,Keyboard,48540
64,Table,Home,Table,4145
65,Headphones,Electronics,Headphones,2050
66,Curtain,Home,Curtain,39946
67,Curtain,Home,Curtain,19993
68,Sofa,Home,Sofa,41214
69,Headphones,Electronics,Headphones,25471
70,Lamp,Home,Lamp,18210
71,Biography,Books,Biography,35487
72,History,Books,History,5711
73,Shirt,Clothing,Shirt,42123
74,Biography,Books,Biography,42035
75, Jacket ,Clothing, Jacket ,48902
76,Jeans,Clothing,Jeans,30502
77,Sofa,Home,Sofa,43266
78,Mobile,Electronics,Mobile,1499
79,Headphones,Electronics,Headphones,7531
80,MOUSE,Electronics,MOUSE,15849
81,Shirt,Clothing,Shirt,9781
82,Lamp,Home,Lamp,42320
83,Mobile,Electronics,Mobile,21606
84,Keyboard,Electronics,Keyboard,1170
85,Curtain,Home,Curtain,38427
86,Biography,Books,Biography,39686
87, Lamp ,Home, Lamp ,44800
88,History,Books,History,12645
89,Shoes,Clothing,Shoes,26920
90,Laptop,Electronics,Laptop,17642
91,Headphones,Electronics,Headphones,26853
92,Science,Books,Science,44310
93,T-Shirt,Clothing,T-Shirt,30015
94,Novel,Books,Novel,12374
95,Curtain,Home,Curtain,18142
96,Table,Home,Table,33625
97,Table,Home,Table,430
98, Science ,Books, Science ,14638
99,Lamp,Home,Lamp,25735
100, Mobile ,Electronics, Mobile ,48153
101,Shirt,Clothing,Shirt,34680
102,Sofa,Home,Sofa,19042
103,Mouse,Electronics,Mouse,13914
104,Mobile,Electronics,Mobile,10473
105,Biography,Books,Biography,12720
106,Keyboard,Electronics,Keyboard,32782
107,Science,Books,Science,26897
108,Biography,Books,Biography,34018
109,Curtain,Home,Curtain,17205
110,Headphones,Electronics,Headphones,19966
111,Shirt,Clothing,Shirt,21819
112,Curtain,Home,Curtain,49502
113,Jacket,Clothing,Jacket,7790
114,Headphones,Electronics,Headphones,108
115,Laptop,Electronics,Laptop,47982
116,Shoes,Clothing,Shoes,40779
117,Shoes,Clothing,Shoes,14998
118,Biography,Books,Biography,4072
119,Jeans,Clothing,Jeans,4785
120,Laptop,Electronics,Laptop,42786
121,Programming,Books,Programming,24611
122,Keyboard,Electronics,Keyboard,28957
123,Jacket,Clothing,Jacket,8135
124,History,Books,History,47224
125, Mobile ,Electronics, Mobile ,37022
126,HISTORY,Books,HISTORY,40843
127,History,Books,History,23597
128,Mobile,Electronics,Mobile,5243
