date,total_customers,total_revenue,avg_transaction
2022-01-01,7,7204.71,1131.75
2022-01-02,9,7467.84,687.11
2022-01-03,7,4378.18,490.41
2022-01-04,13,6613.06,712.79
2022-01-05,4,2893.01,426.86
2022-01-06,6,7803.83,661.45
2022-01-07,5,633.15,175.48
2022-01-08,6,4308.96,432.65
2022-01-09,3,,106.39
2022-01-10,11,2489.82,348.82
2022-01-11,17,14760.71,1096.19
2022-01-12,16,9556.76,816.32
2022-01-13,9,7717.78,1029.72
2022-01-14,5,5520.77,742.8
2022-01-15,10,2239.44,190.89
2022-01-16,15,7060.94,667.18
2022-01-17,4,6883.1,819.84
2022-01-18,6,1581.28,281.84
2022-01-19,11,5624.91,513.32
2022-01-20,12,3778.98,566.48
2022-01-21,11,3500.53,389.66
2022-01-22,11,6915.18,827.06
2022-01-23,9,2741.49,421.63
2022-01-24,14,4348.07,413.53
2022-01-25,13,4777.07,579.22
2022-01-26,7,5170.44,461.4
2022-01-27,14,13287.04,875.2
2022-01-28,6,3974.04,487.65
2022-01-29,9,11937.54,1110.35
2022-01-30,9,3850.42,348.56
2022-01-31,8,5738.54,576.57
2022-02-01,5,12363.21,1428.22
2022-02-02,7,4165.12,456.8
2022-02-03,6,3531.96,471.61
2022-02-04,7,3432.51,467.83
2022-02-05,9,7160.66,704.76
2022-02-06,16,3599.97,318.5
2022-02-07,5,1189.04,200.01
2022-02-08,2,4314.3,752.24
2022-02-09,4,3044.4,352.19
2022-02-10,11,3374.76,333.17
2022-02-11,6,6788.27,623.74
2022-02-12,3,,622.75
2022-02-13,4,1151.48,171.29
2022-02-14,7,4792.3,437.79
2022-02-15,19,14372.59,966.11
2022-02-16,2,4413.02,650.36
2022-02-17,11,35632.86,2744.96
2022-02-18,8,,839.78
2022-02-19,3,5190.41,824.72
2022-02-20,11,7362.94,972.7
2022-02-21,14,2637.12,296.58
2022-02-22,10,2676.27,485.48
2022-02-23,7,8408.72,919.46
2022-02-24,10,11130.94,859.03
2022-02-25,20,9828.27,651.51
2022-02-26,6,3398.32,342.85
2022-02-27,15,5777.73,569.93
2022-02-28,7,1484.91,249.82
2022-03-01,7,2437.82,337.36
2022-03-02,11,7339.43,855.03
2022-03-03,1,6401.0,1163.67
2022-03-04,5,7753.25,1004.26
2022-03-05,7,11808.94,1210.34
2022-03-06,9,3658.14,569.37
2022-03-07,9,1137.33,133.36
2022-03-08,8,1350.99,348.08
2022-03-09,9,5272.11,588.62
2022-03-10,9,4811.33,407.41
2022-03-11,9,7839.98,1042.7
2022-03-12,10,5063.41,599.41
2022-03-13,18,3814.47,301.2
2022-03-14,9,6303.88,583.88
2022-03-15,16,7970.64,438.2
2022-03-16,8,1019.83,179.97
2022-03-17,13,2517.69,244.32
2022-03-18,5,6480.35,686.31
2022-03-19,13,2486.82,227.89
2022-03-20,12,3629.55,486.59
2022-03-21,5,1391.19,500.7
2022-03-22,17,10800.67,832.42
2022-03-23,5,3505.69,373.83
2022-03-24,13,7835.4,494.94
2022-03-25,13,5147.1,374.31
2022-03-26,9,4159.09,483.67
2022-03-27,8,5238.7,485.51
2022-03-28,8,1755.72,271.74
2022-03-29,10,2989.8,319.52
2022-03-30,10,5047.16,384.23
2022-03-31,14,9386.95,694.49
2022-04-01,12,4231.69,409.81
2022-04-02,11,3437.66,343.36
2022-04-03,12,4314.69,364.25
2022-04-04,5,3219.13,511.71
2022-04-05,7,1487.63,310.87
2022-04-06,6,1901.47,236.94
2022-04-07,8,2792.76,273.49
2022-04-08,10,3118.44,346.89
2022-04-09,8,3448.3,349.71
2022-04-10,12,5195.43,421.03
2022-04-11,6,,713.64
2022-04-12,11,4684.96,431.59
2022-04-13,10,3441.53,344.16
2022-04-14,16,3685.06,331.62
2022-04-15,6,1886.05,185.21
2022-04-16,12,3166.37,379.04
2022-04-17,7,1492.66,308.7
2022-04-18,16,4918.28,335.72
2022-04-19,6,3223.55,426.81
2022-04-20,3,3736.9,958.26
2022-04-21,10,1901.53,327.89
2022-04-22,14,6774.34,417.61
2022-04-23,7,1340.32,277.38
2022-04-24,23,8754.02,456.41
2022-04-25,9,2297.07,241.33
2022-04-26,3,1493.99,322.94
2022-04-27,15,4857.53,410.14
2022-04-28,12,5965.44,535.36
2022-04-29,12,3523.43,324.92
2022-04-30,7,6290.84,630.09
2022-05-01,8,3004.73,294.23
2022-05-02,8,5972.39,643.91
2022-05-03,13,6373.18,641.85
2022-05-04,15,12288.19,832.39
2022-05-05,5,857.44,174.46
2022-05-06,12,2198.0,317.72
2022-05-07,12,4248.76,458.62
2022-05-08,3,2738.21,435.05
2022-05-09,14,3462.28,259.03
2022-05-10,13,3982.3,386.39
2022-05-11,3,5613.92,955.2
2022-05-12,1,2443.43,421.41
2022-05-13,6,6041.6,643.59
2022-05-14,4,3132.71,359.88
2022-05-15,16,3623.68,308.66
2022-05-16,8,2483.52,260.23
2022-05-17,9,5180.55,450.34
2022-05-18,12,9774.12,1035.2
2022-05-19,3,762.44,164.42
2022-05-20,4,3788.73,432.07
2022-05-21,16,2876.3,283.37
2022-05-22,10,2936.18,344.06
2022-05-23,3,5532.04,721.35
2022-05-24,9,3051.87,459.69
2022-05-25,6,4667.6,513.95
2022-05-26,15,5041.56,430.31
2022-05-27,10,4218.4,348.75
2022-05-28,15,4278.08,422.63
2022-05-29,7,4544.96,435.16
2022-05-30,14,4750.37,478.39
2022-05-31,12,7490.25,895.26
2022-06-01,8,3338.71,358.22
2022-06-02,11,5380.18,580.37
2022-06-03,16,10031.44,522.03
2022-06-04,10,7230.2,666.06
2022-06-05,7,3329.69,291.43
2022-06-06,5,1224.37,246.99
2022-06-07,14,3594.17,444.72
2022-06-08,12,2447.58,247.32
2022-06-09,15,5014.23,402.64
2022-06-10,6,7670.63,931.48
2022-06-11,5,6121.39,707.28
2022-06-12,4,3671.38,543.85
2022-06-13,20,11627.9,784.31
2022-06-14,5,2990.66,316.96
2022-06-15,20,3967.75,292.32
2022-06-16,12,3785.79,293.0
2022-06-17,9,738.24,158.17
2022-06-18,13,4681.96,445.53
2022-06-19,17,5212.0,350.92
2022-06-20,5,2373.87,324.45
2022-06-21,7,2456.74,270.11
2022-06-22,7,4885.25,463.96
2022-06-23,3,341.59,116.34
2022-06-24,13,3285.4,426.53
2022-06-25,6,914.14,319.79
2022-06-26,6,2121.52,323.53
2022-06-27,9,4682.07,374.54
2022-06-28,11,3573.69,299.56
2022-06-29,19,6730.87,457.77
2022-06-30,7,8757.67,1161.98
2022-07-01,12,5414.44,553.54
2022-07-02,12,5587.63,506.14
2022-07-03,8,1477.0,266.72
2022-07-04,10,7167.17,1098.1
2022-07-05,11,4997.22,428.62
2022-07-06,16,6662.92,604.05
2022-07-07,5,3302.3,589.46
2022-07-08,3,2886.48,614.35
2022-07-09,7,6034.29,578.15
2022-07-10,12,6778.29,538.13
2022-07-11,6,1878.33,192.5
2022-07-12,8,1322.16,201.99
2022-07-13,10,6724.45,671.4
2022-07-14,19,10976.52,622.5
2022-07-15,9,8395.06,645.99
2022-07-16,17,4977.25,400.87
2022-07-17,10,3669.67,381.4
2022-07-18,13,3840.26,357.09
2022-07-19,3,2347.67,654.55
2022-07-20,6,1548.75,234.16
2022-07-21,4,2649.67,362.3
2022-07-22,8,2897.86,446.23
2022-07-23,10,1838.89,335.29
2022-07-24,20,12827.13,677.68
2022-07-25,13,5442.61,612.17
2022-07-26,18,10249.8,714.09
2022-07-27,17,9069.02,811.41
2022-07-28,12,3706.26,386.06
2022-07-29,18,6399.96,445.43
2022-07-30,5,5245.42,586.61
2022-07-31,12,6700.04,871.24
2022-08-01,10,7554.81,1137.56
2022-08-02,18,,811.54
2022-08-03,16,3621.83,354.38
2022-08-04,5,,370.73
2022-08-05,4,2578.38,309.79
2022-08-06,7,3118.43,296.34
2022-08-07,14,3806.63,315.92
2022-08-08,12,5822.28,539.76
2022-08-09,13,3245.64,429.27
2022-08-10,10,5371.23,814.25
2022-08-11,9,9229.65,697.02
2022-08-12,19,5325.1,356.92
2022-08-13,14,4927.42,510.81
2022-08-14,16,3604.05,341.19
2022-08-15,4,6428.4,909.31
2022-08-16,11,5105.47,383.08
2022-08-17,12,2420.25,370.6
2022-08-18,9,6851.47,659.84
2022-08-19,15,3282.66,334.73
2022-08-20,15,6010.33,407.54
2022-08-21,11,8976.12,667.74
2022-08-22,2,1644.5,255.76
2022-08-23,8,2441.4,318.59
2022-08-24,20,8881.78,640.56
2022-08-25,18,7867.45,514.06
2022-08-26,12,1896.41,209.65
2022-08-27,9,4536.07,896.69
2022-08-28,6,2651.59,318.04
2022-08-29,5,2562.21,540.53
2022-08-30,18,10092.36,570.93
2022-08-31,6,2371.91,228.97
2022-09-01,3,1858.52,396.62
2022-09-02,14,11014.56,879.86
2022-09-03,14,7852.09,647.24
2022-09-04,5,2939.56,432.38
2022-09-05,1,3056.89,516.88
2022-09-06,3,1283.56,1357.28
2022-09-07,11,3742.07,463.46
2022-09-08,10,2035.13,370.53
2022-09-09,0,1027.55,262.93
2022-09-10,6,7798.25,776.11
2022-09-11,13,2840.07,329.0
2022-09-12,16,5069.86,376.59
2022-09-13,8,9050.22,1149.01
2022-09-14,13,3532.7,302.36
2022-09-15,14,3941.87,400.24
2022-09-16,7,9155.54,1417.28
2022-09-17,10,5065.61,511.01
2022-09-18,18,4449.7,327.96
2022-09-19,14,5685.64,468.58
2022-09-20,8,5395.97,555.51
2022-09-21,1,2071.5,367.82
2022-09-22,16,6899.07,559.61
2022-09-23,2,4522.7,671.95
2022-09-24,10,2988.44,231.51
2022-09-25,13,4758.6,357.08
2022-09-26,9,785.39,101.83
2022-09-27,7,3841.85,345.61
2022-09-28,9,3624.92,405.06
2022-09-29,16,4564.64,410.13
2022-09-30,13,5189.43,494.49
2022-10-01,8,3930.71,489.61
