transaction_id,customer_id,amount,transaction_date,status
TXN0004112,CRM003884,2454.45,2022-09-03,completed
TXN0007685,CRM008441,1353.66,2023-11-26,pending
TXN0007507,CRM000562,995.55,2022-03-11,pending
TXN0003237,CRM001226,678.94,2023-08-03,pending
TXN0000771,CRM004946,105.5,2022-10-28,pending
TXN0004165,CRM003411,428.07,2022-04-24,completed
TXN0004897,CRM003605,96.5,2023-09-16,completed
TXN0006600,CRM003221,484.43,2022-08-25,completed
TXN0003931,CRM009090,382.69,2024-01-28,completed
TXN0000390,CRM006015,11.5,2022-01-05,completed
TXN0006334,CRM003509,20.88,2023-10-22,completed
TXN0001745,CRM008318,88.44,2022-08-08,completed
TXN0011147,CRM003549,263.98,2023-01-05,completed
TXN0006940,CRM010021,268.46,2023-08-31,completed
TXN0001478,CRM010365,554.22,2023-07-07,completed
TXN0005488,CRM002574,78.16,2023-02-13,completed
TXN0007614,CRM001308,340.45,2024-02-15,completed
TXN0001468,CRM005508,551.2,2024-05-01,completed
TXN0008888,CRM007712,608.89,2022-05-03,completed
TXN0008644,CRM003403,845.02,2022-04-22,completed
TXN0001690,CRM003699,474.65,2024-06-26,pending
TXN0000768,CRM000571,761.8,2024-06-15,completed
TXN0001156,CRM007272,53.36,2024-05-19,pending
TXN0004323,CRM000684,209.99,2023-07-28,completed
TXN0004933,CRM006852,249.76,2024-01-24,completed
TXN0000722,CRM005618,163.25,2022-10-11,completed
TXN0008728,CRM003550,1097.44,2023-01-18,completed
TXN0003831,CRM007638,498.16,2024-03-20,pending
TXN0007213,CRM007889,98.59,2024-05-12,completed
TXN0007748,CRM009140,189.37,2022-04-21,completed
TXN0003864,CRM001635,1205.4,2022-02-23,pending
TXN0006021,CRM004954,298.93,2023-04-25,pending
TXN0003472,GHOST00032,236.36,2024-04-02,completed
TXN0010762,CRM002672,817.91,2024-04-04,completed
TXN0005352,CRM007060,3202.66,2023-10-21,refunded
TXN0003797,CRM001450,31.4,2024-03-30,completed
TXN0004501,CRM008230,67.14,2023-01-14,completed
TXN0007100,CRM007473,1908.98,2022-05-26,completed
TXN0003330,CRM003921,150.6,2022-08-04,pending
TXN0011102,CRM001555,2544.5,2024-06-02,completed
TXN0008753,CRM003797,593.51,2022-09-14,completed
TXN0005812,CRM002585,397.91,2022-08-14,completed
TXN0009798,CRM006985,255.75,2023-09-19,completed
TXN0005463,CRM009076,203.17,2022-11-04,completed
TXN0006075,CRM009965,1144.81,2022-05-07,completed
TXN0008561,CRM002988,899.22,2023-11-15,completed
TXN0004062,CRM002333,33.05,2022-05-13,failed
TXN0009416,CRM006012,303.66,2023-03-04,completed
TXN0008039,CRM009118,36.69,2024-01-06,completed
TXN0005026,CRM009569,2128.51,2022-10-27,completed
TXN0000442,CRM000799,385.23,2023-06-15,completed
TXN0005984,CRM000643,72.97,2024-02-24,completed
TXN0010649,CRM000375,22731.18,2022-02-17,completed
TXN0000074,CRM002613,82.91,2024-01-03,completed
TXN0005060,CRM002447,185.21,2023-11-30,completed
TXN0005438,CRM004329,163.65,2023-01-29,completed
TXN0002692,CRM006777,1186.59,2023-06-18,completed
TXN0011920,GHOST00880,199.27,2023-04-08,refunded
TXN0007935,CRM010126,150.29,2023-12-08,refunded
TXN0006406,CRM007980,767.99,2023-12-08,completed
TXN0000407,CRM002663,559.43,2023-01-14,failed
TXN0008410,CRM006427,84.76,2022-06-29,failed
TXN0009011,CRM004175,1102.08,2024-06-25,failed
TXN0006484,CRM007381,133.55,2022-11-12,pending
TXN0010276,GHOST00139,55.62,2022-10-15,completed
TXN0005419,CRM004907,204.0,2023-05-18,completed
TXN0006566,CRM005316,321.08,2023-11-07,pending
TXN0006013,CRM010392,43.05,2022-06-21,completed
TXN0008011,CRM001116,73.23,2022-03-16,completed
TXN0008744,GHOST00929,220.85,2022-11-15,completed
TXN0006474,CRM002689,314.52,2023-10-12,completed
TXN0008357,CRM004799,79.61,2023-01-04,pending
TXN0002321,GHOST00262,2479.75,2023-01-22,completed
TXN0002588,CRM001258,512.08,2024-01-18,completed
TXN0009978,CRM007740,707.35,2023-08-15,completed
TXN0006685,CRM009519,279.07,2022-06-21,completed
TXN0005938,CRM000702,1933.03,2024-02-18,completed
TXN0004840,CRM007843,370.23,2023-09-25,completed
TXN0008463,CRM008912,194.69,2023-12-08,completed
TXN0007932,CRM007081,708.83,2023-05-16,completed
TXN0002071,CRM005608,104.05,2023-01-09,completed
TXN0005860,GHOST00284,917.44,2022-02-10,completed
TXN0004343,CRM002674,129.91,2023-10-11,completed
TXN0005999,CRM002547,193.15,2022-06-28,completed
TXN0003566,CRM009853,103.42,2023-11-05,refunded
